subjectID	runNumber	patternID	category	onsetTime	F0	gridIOI
001	666	simple19	simple	0.000000	350.000000	0.190000
001	666	simple15	simple	2.280000	350.000000	0.190000
001	666	complex9	complex	4.560000	350.000000	0.190000
001	666	complex25	complex	6.840000	350.000000	0.190000
001	666	complex12	complex	9.120000	350.000000	0.190000
001	666	complex14	complex	11.400000	350.000000	0.190000
001	666	complex3	complex	13.680000	350.000000	0.190000
001	666	complex23	complex	15.960000	350.000000	0.190000
001	666	simple12	simple	18.240000	350.000000	0.190000
001	666	simple23	simple	20.520000	350.000000	0.190000
001	666	complex21	complex	22.800000	350.000000	0.190000
001	666	complex24	complex	25.080000	350.000000	0.190000
001	666	complex22	complex	27.360000	350.000000	0.190000
001	666	complex30	complex	29.640000	350.000000	0.190000
001	666	complex13	complex	31.920000	350.000000	0.190000
001	666	complex18	complex	34.200000	350.000000	0.190000
